noradId,name,orbit_type,country,owner,users,purpose,launch_date,extra_info
44859,1HOPSAT-TD,LEO,USA,Hera Systems,Commercial,Earth Observation,12/11/2019,Pathfinder for planned earth observation constellation.
55107,AAC AIS-Sat1 (Kelpie 1),LEO,United Kingdom,AAC Clyde Space,Commercial,Earth Observation,1/3/2023,Provide AIS information to Orbcomm.
42775,Aalto-1,LEO,Finland,Aalto University,Civil,Technology Development,6/23/2017,Technology development and education.
41460,AAt-4,LEO,Denmark,University of Aalborg,Civil,Earth Observation,4/25/2016,Carries AIS system.
39508,ABS-2,GEO,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,2/6/2014,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam."
41588,ABS-2A,GEO,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,6/15/2016,
40424,ABS-3A,GEO,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,3/2/2015,Coverage of Americas Europe and Africa.
28184,ABS-4,GEO,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,3/13/2004,Purchased by ABS in 2013.
25924,ABS-6,GEO,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,9/26/1999,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia."
47937,Adelis-Sampson 1,LEO,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,3/22/2021,Demonstrate long-term autonomous cluster flight of multiple satellites; determine the position of a cooperative terrestrial emitter.
47939,Adelis-Sampson 2,LEO,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,3/22/2021,Demonstrate long-term autonomous cluster flight of multiple satellites; determine the position of a cooperative terrestrial emitter.
47943,Adelis-Sampson 3,LEO,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,3/22/2021,Demonstrate long-term autonomous cluster flight of multiple satellites; determine the position of a cooperative terrestrial emitter.
56187,ADLER-2,LEO,Austria,Austrian Space Forum (OEWF)/Spire,Civil,Earth Science,4/15/2023,Orbital debris monitoring/study clouds and aerosols in atmosphere
47237,USA 311,GEO,USA,National Reconnaissance Office (NRO),Military,Earth Observation,12/11/2020,ELINT.
25336,USA 139,GEO,USA,National Reconnaissance Office (NRO),Military,Earth Observation,5/9/1998,ELINT.
27937,USA 171,GEO,USA,National Reconnaissance Office (NRO),Military,Earth Observation,9/9/2003,Electronic intelligence (ELINT). 
33490,USA 202,GEO,USA,National Reconnaissance Office (NRO),Military,Earth Observation,1/18/2009,ELINT.
37232,USA 223,GEO,USA,National Reconnaissance Office (NRO),Military,Earth Observation,11/21/2010,ELINT.
38528,USA 237,GEO,USA,National Reconnaissance Office (NRO),Military,Earth Observation,6/29/2012,ELINT.
41584,USA 268,GEO,USA,National Reconnaissance Office (NRO),Military,Earth Observation,6/11/2016,ELINT.
39256,USA 246,GEO,USA,US Air Force,Military,Communications,9/18/2013,Third in constellation.
43651,USA 288,GEO,USA,US Air Force,Military,Communications,10/17/2018,
44481,USA 292,GEO,USA,US Air Force,Military,Communications,8/8/2019,
45465,USA 298,GEO,USA,US Air Force ,Military,Communications,3/26/2020,
38254,USA 235,GEO,USA,US Air Force,Military,Communications,5/3/2012,Second in constellation.
38760,Aeneas,LEO,USA,Department of Homeland Security,Government,Technology Development,9/13/2012,Demonstration program to track cargo containers worldwide.
43600,Aeolus,LEO,ESA,European Space Agency (ESA),Government,Earth Observation,8/22/2018,"Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment."
43861,Aerocube 11A,LEO,USA,Aerospace Corporation,Commercial,Technology Development,12/17/2018,Will test miniaturized imagers.
43849,Aerocube 11B,LEO,USA,Aerospace Corporation,Commercial,Technology Development,12/17/2018,Will test miniaturized imagers.
43556,Aerocube 12A,LEO,USA,Aerospace Corporation,Commercial,Technology Development,7/16/2018,
43557,Aerocube 12B,LEO,USA,Aerospace Corporation,Commercial,Technology Development,7/16/2018,
45114,Aerocube 14A,LEO,USA,Aerospace Corporation,Military,Technology Development,1/31/2020,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells."
